City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mogadishu,SO,80.64,broken clouds,2.04,45.34,Hotel Juba
3,Atuona,PF,77.22,few clouds,-9.8,-139.03,Villa Enata
16,Cockburn Town,TC,81.63,overcast clouds,21.46,-71.14,Osprey Beach Hotel
17,Akyab,MM,79.09,clear sky,20.15,92.9,Hotel Memory
20,Zhuhai,CN,75.2,clear sky,22.28,113.57,珠海粤财假日酒店
26,Vilhena,BR,78.8,broken clouds,-12.74,-60.15,Hotel Mirage
27,Butaritari,KI,81.59,scattered clouds,3.07,172.79,Isles Sunset Lodge
29,Pokaran,IN,76.05,very heavy rain,26.92,71.92,Motel Pokaran - RTDC
33,Labuan,MY,80.6,few clouds,5.28,115.24,Tiara Labuan Hotel
39,Ternate,ID,80.55,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
40,Dingle,PH,75.43,overcast clouds,11.0,122.67,SEGAYA PROPERTY
43,Sao Filipe,CV,82.04,scattered clouds,14.9,-24.5,Tortuga B&B
47,Cayenne,GF,89.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
48,Harper,LR,80.96,light rain,4.38,-7.72,Screensaver
59,El Alto,PE,78.8,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
62,Arraial Do Cabo,BR,84.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
67,Arouca,TT,87.01,shower rain,10.63,-61.33,Palms Hotel Trinidad
70,Esmeralda,CU,84.2,heavy intensity rain,21.85,-78.12,campismo las palmas
78,Bengkulu,ID,76.03,light rain,-3.8,102.27,Grage Hotel Bengkulu
84,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
87,Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
89,Tevaitoa,PF,79.18,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
93,Bibiani,GH,82.71,light rain,6.46,-2.32,Rodick Hotel
94,Santiago Del Estero,AR,81.0,overcast clouds,-27.8,-64.26,Hotel Urbano
97,Itarema,BR,89.01,few clouds,-2.92,-39.92,Windvillage
112,Coruripe,BR,82.6,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
113,Rio Grande City,US,82.99,clear sky,26.38,-98.82,La Borde House
116,Matara,LK,79.66,moderate rain,5.95,80.54,Amaloh Boutique Resort
118,Nizwa,OM,75.47,scattered clouds,22.93,57.53,Orient Apartments
119,Bambanglipuro,ID,78.55,overcast clouds,-7.95,110.28,Puri Brata
120,Bermejo,AR,82.4,clear sky,-32.88,-68.8,Hotel Mendoza
121,Bilma,NE,75.42,clear sky,18.69,12.92,Expeditions Ténére voyages
123,Carnot,CF,77.22,broken clouds,4.94,15.87,
124,Cavalcante,BR,86.47,broken clouds,-13.8,-47.46,Pousada Vila dos Ipês
125,Praia,CV,84.2,clear sky,14.92,-23.51,LT Aparthotel
126,Prieska,ZA,77.74,scattered clouds,-29.66,22.75,Avenue GuestHouse
131,Casa Nova,BR,87.8,scattered clouds,-9.42,-41.13,Pousada e Restaurante Dona Xinha
132,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
133,Havelock,US,75.99,broken clouds,34.88,-76.9,Sherwood Motel
138,Tuxtla Gutierrez,MX,77.0,few clouds,16.75,-93.12,"Hotel del Carmen en Tuxtla Gutierrez, en el Centro de Tuxtla"
140,Mocuba,MZ,87.6,few clouds,-16.84,36.99,Phama Lodge
142,Saint-Leu,RE,75.2,clear sky,-21.15,55.28,La Caz Oceane
143,Biltine,TD,85.44,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
144,Kisangani,CD,76.48,overcast clouds,0.52,25.2,Grand Ramela Hotel
145,Paragominas,BR,85.15,overcast clouds,-2.97,-47.48,HOTEL RODA VIVA
147,Kavieng,PG,81.12,light rain,-2.57,150.8,Nusa Island Retreat
