City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.52,57.52,73.4,73,20,12.75,few clouds
1,Mogadishu,SO,2.04,45.34,80.64,82,56,12.62,broken clouds
2,Chokurdakh,RU,70.63,147.92,-16.76,90,68,3.0,broken clouds
3,Atuona,PF,-9.8,-139.03,77.22,74,15,13.29,few clouds
4,Shieli,KZ,44.17,66.75,42.91,61,98,9.06,overcast clouds
5,Avarua,CK,-21.21,-159.78,69.8,100,67,10.4,light rain
6,Nikolskoye,RU,59.7,30.79,42.8,75,75,17.9,broken clouds
7,Provideniya,RU,64.38,-173.3,32.4,97,100,38.65,overcast clouds
8,Albany,US,42.6,-73.97,64.0,66,20,0.92,few clouds
9,Hobart,AU,-42.88,147.33,55.4,71,98,8.05,overcast clouds
10,Rikitea,PF,-23.12,-134.97,73.74,76,53,17.67,light rain
11,Mataura,NZ,-46.19,168.86,37.15,95,2,1.97,clear sky
12,Constitucion,CL,-35.33,-72.42,67.33,48,68,15.75,broken clouds
13,Carnarvon,AU,-24.87,113.63,66.2,68,75,23.04,broken clouds
14,Rewa,IN,24.53,81.3,65.86,28,0,2.3,clear sky
15,Bulgan,MN,48.81,103.53,32.11,84,0,3.56,clear sky
16,Cockburn Town,TC,21.46,-71.14,81.63,82,100,17.56,overcast clouds
17,Akyab,MM,20.15,92.9,79.09,79,0,5.68,clear sky
18,Dikson,RU,73.51,80.55,5.32,94,100,9.37,overcast clouds
19,Mahebourg,MU,-20.41,57.7,73.4,73,20,12.75,few clouds
20,Zhuhai,CN,22.28,113.57,75.2,73,0,8.05,clear sky
21,Busselton,AU,-33.65,115.33,54.0,69,57,18.63,broken clouds
22,Tiksi,RU,71.69,128.87,-8.86,87,0,6.67,clear sky
23,Komsomolskiy,UZ,40.43,71.72,41.0,80,40,2.24,scattered clouds
24,Hami,CN,42.8,93.45,38.75,61,17,4.72,few clouds
25,Waterloo,CA,43.47,-80.52,66.99,52,1,4.7,clear sky
26,Vilhena,BR,-12.74,-60.15,78.8,74,75,6.93,broken clouds
27,Butaritari,KI,3.07,172.79,81.59,74,38,12.57,scattered clouds
28,Bonavista,CA,48.65,-53.11,37.0,75,96,6.93,overcast clouds
29,Pokaran,IN,26.92,71.92,76.05,19,0,4.72,very heavy rain
30,Flin Flon,CA,54.77,-101.86,10.4,78,75,18.34,light snow
31,Ilulissat,GL,69.22,-51.1,15.8,72,75,4.7,broken clouds
32,Vaini,TO,-21.2,-175.2,69.8,94,40,4.7,scattered clouds
33,Labuan,MY,5.28,115.24,80.6,83,20,5.82,few clouds
34,Vestmannaeyjar,IS,63.44,-20.27,46.4,93,90,23.04,overcast clouds
35,Khatanga,RU,71.97,102.5,23.04,97,100,12.41,light snow
36,Ushuaia,AR,-54.8,-68.3,51.8,20,0,16.11,clear sky
37,Bluff,NZ,-46.6,168.33,45.1,84,2,6.62,clear sky
38,Urumqi,CN,43.8,87.6,42.8,41,0,4.47,clear sky
39,Ternate,ID,0.8,127.4,80.55,77,68,3.94,broken clouds
40,Dingle,PH,11.0,122.67,75.43,88,100,4.09,overcast clouds
41,Mackay,AU,-21.15,149.2,71.6,73,40,12.75,scattered clouds
42,Oranjemund,NA,-28.55,16.43,60.01,59,0,29.84,clear sky
43,Sao Filipe,CV,14.9,-24.5,82.04,69,32,7.05,scattered clouds
44,North Bend,US,43.41,-124.22,41.0,66,1,10.29,clear sky
45,East London,ZA,-33.02,27.91,57.2,93,75,16.11,light rain
46,Sorland,NO,67.67,12.69,37.4,64,75,11.41,broken clouds
47,Cayenne,GF,4.93,-52.33,89.6,55,0,10.29,clear sky
48,Harper,LR,4.38,-7.72,80.96,79,68,8.1,light rain
49,Clyde River,CA,70.47,-68.59,-0.4,70,40,14.99,scattered clouds
50,Yellowknife,CA,62.46,-114.35,28.4,79,75,4.7,broken clouds
51,Zharkent,KZ,44.16,80.0,38.19,75,0,6.53,clear sky
52,Rabo De Peixe,PT,37.8,-25.58,66.2,63,75,13.87,broken clouds
53,Klamath Falls,US,42.22,-121.78,27.0,68,1,3.36,clear sky
54,Deputatskiy,RU,69.3,139.9,-18.44,89,0,2.53,clear sky
55,Kutahya,TR,39.42,29.98,48.2,70,0,4.7,clear sky
56,Srednekolymsk,RU,67.45,153.68,-8.75,91,100,4.43,overcast clouds
57,Talnakh,RU,69.49,88.4,15.8,92,40,8.95,light snow
58,Qaanaaq,GL,77.48,-69.36,-6.52,70,0,7.27,clear sky
59,El Alto,PE,-4.27,-81.21,78.8,57,0,10.29,clear sky
60,Bethel,US,41.37,-73.41,72.0,42,1,3.58,clear sky
61,Pevek,RU,69.7,170.31,18.23,93,99,7.18,overcast clouds
62,Arraial Do Cabo,BR,-22.97,-42.03,84.2,78,40,13.87,scattered clouds
63,Astana,KZ,51.18,71.45,35.6,93,90,22.37,light rain
64,Mehamn,NO,71.04,27.85,35.6,74,75,19.46,broken clouds
65,Coihaique,CL,-45.58,-72.07,68.0,37,0,6.93,clear sky
66,Cape Town,ZA,-33.93,18.42,62.01,48,20,19.46,few clouds
67,Arouca,TT,10.63,-61.33,87.01,70,40,9.17,shower rain
68,Kaeo,NZ,-35.1,173.78,52.0,95,96,3.0,light rain
69,Egvekinot,RU,66.32,-179.17,20.07,97,100,16.2,light snow
70,Esmeralda,CU,21.85,-78.12,84.2,74,75,13.87,heavy intensity rain
71,Vila,PT,42.03,-8.16,55.99,87,44,4.0,scattered clouds
72,Mikuni,JP,36.22,136.15,46.4,87,75,5.82,broken clouds
73,Ribeira Grande,PT,38.52,-28.7,66.2,82,75,24.16,broken clouds
74,Novo Horizonte,BR,-21.47,-49.22,96.58,28,39,7.81,moderate rain
75,Husavik,IS,66.04,-17.34,33.8,82,0,4.7,clear sky
76,Hermanus,ZA,-34.42,19.23,60.01,59,17,8.01,few clouds
77,Victor Harbor,AU,-35.57,138.62,73.0,34,7,1.01,clear sky
78,Bengkulu,ID,-3.8,102.27,76.03,82,100,4.18,light rain
79,Poum,NC,-20.23,164.02,74.17,78,91,13.8,light rain
80,Zhigansk,RU,66.77,123.37,-12.21,88,79,19.17,broken clouds
81,Sobolevo,RU,54.43,31.9,33.93,89,29,7.99,scattered clouds
82,Puerto Ayora,EC,-0.74,-90.35,71.6,73,75,14.99,broken clouds
83,Otane,NZ,-39.88,176.63,46.99,95,76,2.37,broken clouds
84,Saint-Philippe,RE,-21.36,55.77,75.2,73,0,10.29,clear sky
85,Antalaha,MG,-14.9,50.28,73.36,87,30,7.43,scattered clouds
86,Kaitangata,NZ,-46.28,169.85,41.09,92,4,1.41,clear sky
87,Kapaa,US,22.08,-159.32,78.8,78,20,18.34,few clouds
88,Chunskiy,RU,56.08,99.63,35.2,95,100,5.93,moderate rain
89,Tevaitoa,PF,-16.78,-151.5,79.18,79,100,16.69,light rain
90,Korla,CN,41.76,86.15,43.59,51,95,7.14,overcast clouds
91,Colares,PT,38.8,-9.45,66.2,72,40,6.93,scattered clouds
92,Mar Del Plata,AR,-38.0,-57.56,69.8,73,75,14.99,broken clouds
93,Bibiani,GH,6.46,-2.32,82.71,68,94,1.63,light rain
94,Santiago Del Estero,AR,-27.8,-64.26,81.0,58,94,3.0,overcast clouds
95,Bambous Virieux,MU,-20.34,57.76,73.99,73,20,12.75,few clouds
96,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,90,12.75,overcast clouds
97,Itarema,BR,-2.92,-39.92,89.01,53,12,19.82,few clouds
98,Punta Arenas,CL,-53.15,-70.92,42.8,87,90,14.99,light rain
99,Suraabad,AZ,40.82,49.47,51.8,93,0,6.93,clear sky
100,Smithers,CA,54.78,-127.17,28.4,92,90,2.24,light snow
101,Kaspiyskiy,RU,45.39,47.37,52.63,68,75,6.51,broken clouds
102,Norman Wells,CA,65.28,-126.83,21.2,85,90,13.87,overcast clouds
103,Saint George,US,37.1,-113.58,41.0,64,90,4.7,overcast clouds
