City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Buzmeyin,TM,38.05,58.21,53.6,71,0,2.24,clear sky
1,Yellowknife,CA,62.46,-114.35,28.4,79,75,4.7,broken clouds
2,Puerto Escondido,MX,15.85,-97.07,86.0,62,20,4.7,few clouds
3,Eureka,US,40.8,-124.16,34.0,86,1,5.82,clear sky
4,Punta Arenas,CL,-53.15,-70.92,41.0,86,90,12.75,light rain
5,Saint-Philippe,RE,-21.36,55.77,75.2,73,20,6.93,few clouds
6,Mackay,AU,-21.15,149.2,73.4,69,40,14.99,scattered clouds
7,Funtua,NG,11.52,7.31,83.64,28,0,6.64,clear sky
8,Fukue,JP,32.69,128.84,58.95,50,0,17.83,clear sky
9,Albany,US,42.6,-73.97,61.0,59,0,1.19,clear sky
10,Mahebourg,MU,-20.41,57.7,73.4,73,20,12.75,few clouds
11,Rikitea,PF,-23.12,-134.97,73.6,76,46,17.58,light rain
12,Ushuaia,AR,-54.8,-68.3,48.2,34,0,5.82,clear sky
13,Siemiatycze,PL,52.43,22.86,44.01,83,91,1.01,overcast clouds
14,San Pedro,PH,14.35,121.02,80.01,94,75,3.36,heavy intensity rain
15,Kapaa,US,22.08,-159.32,77.0,88,75,17.22,broken clouds
16,Westport,US,41.14,-73.36,71.01,55,1,6.93,clear sky
17,Dikson,RU,73.51,80.55,5.79,94,100,10.04,overcast clouds
18,Cape Town,ZA,-33.93,18.42,62.01,48,20,19.46,few clouds
19,Tabas,IR,33.6,56.92,62.6,36,0,2.24,clear sky
20,Dhemaji,IN,27.48,94.58,63.97,77,0,3.65,clear sky
21,Cherskiy,RU,68.75,161.3,3.11,94,100,4.65,light snow
22,Hobyo,SO,5.35,48.53,81.18,77,29,18.81,scattered clouds
23,Teahupoo,PF,-17.83,-149.27,71.6,100,75,2.24,light rain
24,Labuan,MY,5.28,115.24,80.6,88,20,5.82,light rain
25,Robore,BO,-18.33,-59.75,91.4,52,61,17.22,broken clouds
26,Aripuana,BR,-9.17,-60.63,84.67,64,95,1.39,overcast clouds
27,Bereda,ES,43.27,-7.54,59.0,85,35,7.0,light rain
28,Pimenteiras,BR,-6.25,-41.42,96.44,28,7,8.01,clear sky
29,Busselton,AU,-33.65,115.33,54.0,69,57,17.83,broken clouds
30,Rio Grande,BR,-32.03,-52.1,69.8,77,90,20.8,overcast clouds
31,New Norfolk,AU,-42.78,147.06,55.99,63,99,2.93,overcast clouds
32,Augsburg,DE,48.37,10.88,44.01,100,90,4.7,fog
33,Bathsheba,BB,13.22,-59.52,86.0,79,40,13.87,light rain
34,Ribeira Grande,PT,38.52,-28.7,66.2,82,75,24.16,broken clouds
35,Lavumisa,SZ,-27.31,31.89,86.0,58,89,11.41,overcast clouds
36,Vaini,TO,-21.2,-175.2,68.0,100,20,3.36,few clouds
37,Hilo,US,19.73,-155.09,73.4,64,90,5.91,moderate rain
38,Auki,SB,-8.77,160.7,78.33,81,61,2.59,light rain
39,Gizo,SB,-8.1,156.84,82.65,76,86,8.14,light rain
40,Barrow,US,71.29,-156.79,14.0,78,90,16.11,overcast clouds
41,Comodoro Rivadavia,AR,-45.87,-67.5,69.8,46,0,12.75,clear sky
42,Constitucion,CL,-35.33,-72.42,67.15,48,61,14.92,broken clouds
43,Nemuro,JP,43.32,145.57,36.41,82,96,1.83,overcast clouds
44,Grakhovo,RU,56.05,51.97,32.0,95,90,11.18,overcast clouds
45,Nikolskoye,RU,59.7,30.79,42.8,75,90,17.9,overcast clouds
46,Koslan,RU,63.46,48.9,30.9,97,100,8.19,overcast clouds
47,San Quintin,MX,30.48,-115.95,59.49,60,63,11.27,light rain
48,Williston,US,48.15,-103.62,17.01,79,99,4.0,overcast clouds
49,Maceio,BR,-9.67,-35.74,78.8,88,75,12.75,shower rain
50,Caboolture,AU,-27.08,152.95,61.0,3,8,1.01,clear sky
51,Zaltan,LY,32.95,11.87,70.66,60,0,7.74,clear sky
52,Puerto Maldonado,PE,-12.6,-69.18,87.8,66,0,4.7,clear sky
53,Bambous Virieux,MU,-20.34,57.76,73.99,73,20,12.75,few clouds
54,Kodiak,US,57.79,-152.41,42.8,48,1,8.05,clear sky
55,Tazovskiy,RU,67.47,78.7,1.78,94,96,8.1,overcast clouds
56,Wad Rawah,SD,15.16,33.14,83.91,18,51,9.98,broken clouds
57,Lantawan,PH,10.62,123.98,77.0,94,90,2.24,moderate rain
58,Muros,ES,42.78,-9.06,60.01,79,3,5.99,light rain
59,Susanville,US,40.42,-120.65,21.2,85,1,3.83,clear sky
60,Meulaboh,ID,4.14,96.13,77.81,88,100,4.05,moderate rain
61,Makakilo City,US,21.35,-158.09,78.8,83,1,3.36,clear sky
62,Ilulissat,GL,69.22,-51.1,15.8,66,75,2.24,broken clouds
63,Leningradskiy,RU,69.38,178.42,17.37,93,97,6.44,overcast clouds
64,Castro,BR,-24.79,-50.01,83.97,35,37,9.48,scattered clouds
65,Bredasdorp,ZA,-34.53,20.04,60.8,51,0,13.87,clear sky
66,Teguise,ES,29.06,-13.56,75.2,60,40,12.75,scattered clouds
67,Atuona,PF,-9.8,-139.03,76.98,75,10,12.03,light rain
68,Alice Springs,AU,-23.7,133.88,84.2,14,68,6.93,broken clouds
69,Puerto Ayora,EC,-0.74,-90.35,73.4,83,75,12.75,broken clouds
70,Salinopolis,BR,-0.61,-47.36,86.99,61,40,13.2,scattered clouds
71,Pangkalanbuun,ID,-2.68,111.62,74.19,91,8,0.78,clear sky
